18,action,758
28,adventure,440
63,animation,451
69,apocalypse,172
109,based on a true story,343
145,bloody,56
184,cars,100
214,classic,637
229,comedy,796
234,coming of age,301
267,crime,304
314,documentary,236
322,drama,355
370,fairy tale,229
373,family,244
389,fighting,78
419,futuristic,174
438,girlie movie,75
499,heroine,17
508,history,250
521,horror,365
637,medieval,103
685,musical,304
724,nudity,67
822,psychological,304
846,religion,303
870,sad,180
886,sci-fi,802
903,series,20
950,special effects,125
988,superhero,344
1024,thriller,391
1095,war,349
1106,western,152